tanggal,teks

2022-03-16 09:23:41+00:00,b'RT @detik_jabar: Wanita asal Karawang pembakar bendera Merah Putih tidak akan diproses hukum. Kenapa? baca penjelasannya disini. \n\n#goto #g\xe2\x80\xa6'
,
2022-03-16 09:16:11+00:00,"b'Gara2 di apps toped ada nawarin ipo $goto tapi ribet hrs daftar bank jago dan salah satu broker, ya udh pake broker\xe2\x80\xa6 https://t.co/eRLtIT5vg9'"
,
2022-03-16 09:11:32+00:00,"b'RT @patroli_invest: GoTo akhirnya rilis IPO, tapi ada fakta-fakta menarik yang perlu Kamu ketahui nih, guys!\n\n#investasicerdas #sahamcuan #\xe2\x80\xa6'"
,
2022-03-16 09:08:07+00:00,"b'RT @patroli_invest: GoTo akhirnya rilis IPO, tapi ada fakta-fakta menarik yang perlu Kamu ketahui nih, guys!\n\n#investasicerdas #sahamcuan #\xe2\x80\xa6'"
,
2022-03-16 09:00:17+00:00,"b'RT @patroli_invest: GoTo akhirnya rilis IPO, tapi ada fakta-fakta menarik yang perlu Kamu ketahui nih, guys!\n\n#investasicerdas #sahamcuan #\xe2\x80\xa6'"
,
2022-03-16 08:59:00+00:00,b'Wanita asal Karawang pembakar bendera Merah Putih tidak akan diproses hukum. Kenapa? baca penjelasannya disini.\xe2\x80\xa6 https://t.co/TaaeWZRHMG'
,
2022-03-16 08:50:15+00:00,"b'RT @patroli_invest: GoTo akhirnya rilis IPO, tapi ada fakta-fakta menarik yang perlu Kamu ketahui nih, guys!\n\n#investasicerdas #sahamcuan #\xe2\x80\xa6'"
,
2022-03-16 08:30:07+00:00,b'Induk usaha @gojekindonesia dan @tokopedia memulai penawaran saham perdana alias IPO dengan melepas 48-52 miliar le\xe2\x80\xa6 https://t.co/SQ6zF97kAI'
,
2022-03-16 08:20:39+00:00,b'#\xe0\xb8\xa3\xe0\xb8\xb9\xe0\xb8\x9b\xe0\xb8\x99\xe0\xb8\xb5\xe0\xb9\x89\xe0\xb8\x9e\xe0\xb8\xb5\xe0\xb9\x88\xe0\xb8\xaa\xe0\xb8\xb4\xe0\xb8\x87\xe0\xb8\x96\xe0\xb9\x88\xe0\xb8\xb2\xe0\xb8\xa2 #abcdefghi__lmnopqrstuvwxyz\n#Marquez #GoTo #Gempa\n#SHIOKUDA2\n\xf0\x9f\x8c\x9fBonus Deposit Harian 5000\n\xf0\x9f\x8c\x9fMinimal\xe2\x80\xa6 https://t.co/nNWJlVnWtw'
,
2022-03-16 08:20:16+00:00,b'#\xe0\xb8\xa3\xe0\xb8\xb9\xe0\xb8\x9b\xe0\xb8\x99\xe0\xb8\xb5\xe0\xb9\x89\xe0\xb8\x9e\xe0\xb8\xb5\xe0\xb9\x88\xe0\xb8\xaa\xe0\xb8\xb4\xe0\xb8\x87\xe0\xb8\x96\xe0\xb9\x88\xe0\xb8\xb2\xe0\xb8\xa2 #abcdefghi__lmnopqrstuvwxyz\n#Marquez #GoTo #Gempa\n#SHIOKUDA2\n\xf0\x9f\x8c\x9fBonus Deposit Harian 5000\n\xf0\x9f\x8c\x9fMinimal\xe2\x80\xa6 https://t.co/lz8CP8EumQ'
,
2022-03-16 08:03:31+00:00,"b'RT @databoksid: Jelang IPO pada awal April mendatang, kinerja GoTo masih rugi. Angka kerugiannya mencapai Rp8,17 triliun hingga 31 Juli 202\xe2\x80\xa6'"
,
2022-03-16 08:03:21+00:00,"b'GoTo akhirnya rilis IPO, tapi ada fakta-fakta menarik yang perlu Kamu ketahui nih, guys!\n\n#investasicerdas\xe2\x80\xa6 https://t.co/7lDBKGxUo7'"
,
2022-03-16 08:00:07+00:00,"b'Jelang IPO pada awal April mendatang, kinerja GoTo masih rugi. Angka kerugiannya mencapai Rp8,17 triliun hingga 31\xe2\x80\xa6 https://t.co/z9iOz9E0Hc'"
,
